COUNTYNAME,RealPlantArea,HarvestArea,UnitYield,Yield,Crop,Year,Season
台中市,69.76,69.76,4850,338336.0,Wheat,2009,winter
台南市,9.80,9.80,2000,19600.0,Wheat,2009,winter
台中市,16.43,16.43,3347,54985.0,Wheat,2010,first
苗栗縣,4.34,4.34,2400,10416.0,Wheat,2010,whole
台中市,75.93,75.93,3700,280950.0,Wheat,2010,whole
台南市,6.00,6.00,2000,12000.0,Wheat,2010,whole
金門縣,1802.59,1802.59,2704,4874572.0,Wheat,2010,whole
苗栗縣,4.34,4.34,2400,10416.0,Wheat,2010,winter
台中市,59.50,59.50,3798,225965.0,Wheat,2010,winter
台南市,6.00,6.00,2000,12000.0,Wheat,2010,winter
金門縣,1802.59,1802.59,2704,4874572.0,Wheat,2010,winter
宜蘭縣,0.85,0.85,1982,1685.0,Soybean,2011,first
雲林縣,1.00,1.00,2320,2320.0,Soybean,2011,first
嘉義縣,0.40,0.40,1500,600.0,Soybean,2011,first
台南市,2.80,2.80,550,1540.0,Soybean,2011,first
高雄市,2.55,2.55,2023,5158.0,Soybean,2011,first
屏東縣,4.40,4.40,2000,8800.0,Soybean,2011,first
花蓮縣,0.25,0.25,1300,325.0,Soybean,2011,first
雲林縣,8.80,8.80,2450,21560.0,Soybean,2011,second
嘉義縣,0.10,0.10,1500,150.0,Soybean,2011,second
台南市,1.06,1.06,725,768.0,Soybean,2011,second
屏東縣,2.40,2.40,1300,3120.0,Soybean,2011,second
花蓮縣,0.55,0.55,1491,820.0,Soybean,2011,second
宜蘭縣,0.85,0.85,1982,1685.0,Soybean,2011,whole
桃園市,0.50,0.50,2000,1000.0,Soybean,2011,whole
雲林縣,10.20,10.20,2467,25160.0,Soybean,2011,whole
嘉義縣,0.50,0.50,1500,750.0,Soybean,2011,whole
台南市,28.46,28.46,1811,51528.0,Soybean,2011,whole
高雄市,3.35,3.35,1970,6598.0,Soybean,2011,whole
屏東縣,9.80,9.80,1708,16740.0,Soybean,2011,whole
花蓮縣,0.90,0.90,1383,1245.0,Soybean,2011,whole
桃園市,0.50,0.50,2000,1000.0,Soybean,2011,winter
雲林縣,0.40,0.40,3200,1280.0,Soybean,2011,winter
台南市,24.60,24.60,2001,49220.0,Soybean,2011,winter
高雄市,0.80,0.80,1800,1440.0,Soybean,2011,winter
屏東縣,3.00,3.00,1607,4820.0,Soybean,2011,winter
花蓮縣,0.10,0.10,1000,100.0,Soybean,2011,winter
宜蘭縣,4.86,4.86,2294,11151.0,Soybean,2012,first
雲林縣,4.03,4.03,2239,9025.0,Soybean,2012,first
嘉義縣,8.02,8.02,1455,11671.0,Soybean,2012,first
台南市,4.45,4.45,1904,8475.0,Soybean,2012,first
高雄市,3.31,3.31,1951,6457.0,Soybean,2012,first
屏東縣,0.50,0.50,1650,825.0,Soybean,2012,first
花蓮縣,7.32,7.32,2518,18430.0,Soybean,2012,first
苗栗縣,0.68,0.68,1500,1020.0,Soybean,2012,second
台中市,0.10,0.10,1700,170.0,Soybean,2012,second
雲林縣,12.67,12.67,2970,37635.0,Soybean,2012,second
高雄市,2.61,2.61,2001,5222.0,Soybean,2012,second
花蓮縣,0.45,0.45,1000,450.0,Soybean,2012,second
宜蘭縣,4.86,4.86,2294,11151.0,Soybean,2012,whole
苗栗縣,0.68,0.68,1500,1020.0,Soybean,2012,whole
台中市,0.10,0.10,1700,170.0,Soybean,2012,whole
雲林縣,16.70,16.70,2794,46660.0,Soybean,2012,whole
嘉義縣,12.01,12.01,1445,17356.0,Soybean,2012,whole
台南市,25.25,25.25,1661,41945.0,Soybean,2012,whole
高雄市,6.22,6.22,1964,12219.0,Soybean,2012,whole
屏東縣,4.75,4.75,1800,8550.0,Soybean,2012,whole
花蓮縣,9.02,9.02,2234,20150.0,Soybean,2012,whole
嘉義縣,3.99,3.99,1425,5685.0,Soybean,2012,winter
台南市,20.80,20.80,1609,33470.0,Soybean,2012,winter
高雄市,0.30,0.30,1800,540.0,Soybean,2012,winter
屏東縣,4.25,4.25,1818,7725.0,Soybean,2012,winter
花蓮縣,1.25,1.25,1016,1270.0,Soybean,2012,winter
宜蘭縣,1.86,1.86,1527,2840.0,Soybean,2013,first
桃園市,0.20,0.20,2000,400.0,Soybean,2013,first
台中市,2.00,2.00,2600,5200.0,Soybean,2013,first
南投縣,0.20,0.20,1000,200.0,Soybean,2013,first
雲林縣,9.31,9.31,1640,15265.0,Soybean,2013,first
台南市,3.86,3.86,2000,7720.0,Soybean,2013,first
高雄市,0.01,0.01,2200,22.0,Soybean,2013,first
屏東縣,2.55,2.55,2200,5610.0,Soybean,2013,first
台東縣,1.60,1.60,2000,3200.0,Soybean,2013,first
花蓮縣,16.19,16.19,2098,33964.0,Soybean,2013,first
苗栗縣,5.48,5.48,625,3423.0,Soybean,2013,second
雲林縣,64.95,63.82,1963,125278.0,Soybean,2013,second
嘉義縣,54.06,54.06,2416,130635.0,Soybean,2013,second
台南市,114.00,114.00,1803,205561.0,Soybean,2013,second
高雄市,2.11,2.11,2001,4222.0,Soybean,2013,second
屏東縣,0.25,0.25,1500,375.0,Soybean,2013,second
花蓮縣,4.40,4.40,1000,4400.0,Soybean,2013,second
宜蘭縣,1.86,1.86,1527,2840.0,Soybean,2013,whole
桃園市,0.20,0.20,2000,400.0,Soybean,2013,whole
苗栗縣,5.48,5.48,625,3423.0,Soybean,2013,whole
台中市,2.00,2.00,2600,5200.0,Soybean,2013,whole
南投縣,0.20,0.20,1000,200.0,Soybean,2013,whole
雲林縣,74.26,73.13,1922,140543.0,Soybean,2013,whole
嘉義縣,57.59,57.59,2360,135919.0,Soybean,2013,whole
台南市,134.16,134.16,1772,237731.0,Soybean,2013,whole
高雄市,137.83,137.83,1754,241744.0,Soybean,2013,whole
屏東縣,34.50,34.50,2011,69385.0,Soybean,2013,whole
台東縣,1.60,1.60,2000,3200.0,Soybean,2013,whole
花蓮縣,20.84,20.84,1853,38614.0,Soybean,2013,whole
嘉義縣,3.53,3.53,1497,5284.0,Soybean,2013,winter
台南市,16.30,16.30,1500,24450.0,Soybean,2013,winter
高雄市,135.71,135.71,1750,237500.0,Soybean,2013,winter
屏東縣,31.70,31.70,2000,63400.0,Soybean,2013,winter
花蓮縣,0.25,0.25,1000,250.0,Soybean,2013,winter
宜蘭縣,1.76,1.76,1600,2816.0,Soybean,2014,first
雲林縣,19.50,7.66,1553,11898.0,Soybean,2014,first
嘉義縣,50.25,50.25,2409,121061.0,Soybean,2014,first
台南市,34.77,34.77,1720,59806.0,Soybean,2014,first
高雄市,13.15,13.15,2260,29724.0,Soybean,2014,first
屏東縣,12.00,12.00,2060,24720.0,Soybean,2014,first
台東縣,4.65,4.65,2000,9300.0,Soybean,2014,first
花蓮縣,31.89,31.89,1844,58812.0,Soybean,2014,first
苗栗縣,15.80,15.80,1500,23700.0,Soybean,2014,second
台中市,4.29,4.29,2400,10296.0,Soybean,2014,second
彰化縣,12.59,12.59,1500,18885.0,Soybean,2014,second
雲林縣,28.65,28.65,1582,45315.0,Soybean,2014,second
嘉義縣,11.93,11.93,2054,24504.0,Soybean,2014,second
台南市,115.72,115.72,1683,194725.0,Soybean,2014,second
高雄市,1.07,1.07,2002,2142.0,Soybean,2014,second
屏東縣,7.15,7.15,1800,12870.0,Soybean,2014,second
花蓮縣,9.35,9.35,1359,12705.0,Soybean,2014,second
宜蘭縣,1.76,1.76,1600,2816.0,Soybean,2014,whole
苗栗縣,25.90,25.90,1636,42385.0,Soybean,2014,whole
台中市,4.29,4.29,2400,10296.0,Soybean,2014,whole
彰化縣,12.99,12.99,1500,19485.0,Soybean,2014,whole
雲林縣,49.89,38.05,1626,61879.0,Soybean,2014,whole
嘉義縣,66.18,66.18,2345,155165.0,Soybean,2014,whole
台南市,229.87,229.87,1620,372388.0,Soybean,2014,whole
高雄市,181.51,181.51,1706,309648.0,Soybean,2014,whole
屏東縣,60.57,60.57,1931,116948.0,Soybean,2014,whole
台東縣,4.65,4.65,2000,9300.0,Soybean,2014,whole
花蓮縣,42.49,42.49,1713,72767.0,Soybean,2014,whole
苗栗縣,10.10,10.10,1850,18685.0,Soybean,2014,winter
彰化縣,0.40,0.40,1500,600.0,Soybean,2014,winter
雲林縣,1.74,1.74,2682,4666.0,Soybean,2014,winter
嘉義縣,4.00,4.00,2400,9600.0,Soybean,2014,winter
台南市,79.38,79.38,1485,117857.0,Soybean,2014,winter
高雄市,167.29,167.29,1660,277782.0,Soybean,2014,winter
屏東縣,41.42,41.42,1916,79358.0,Soybean,2014,winter
花蓮縣,1.25,1.25,1000,1250.0,Soybean,2014,winter
宜蘭縣,1.76,1.76,1480,2605.0,Soybean,2015,first
雲林縣,14.19,9.89,1704,16855.0,Soybean,2015,first
嘉義縣,54.27,54.27,2026,109950.0,Soybean,2015,first
台南市,26.78,26.78,1470,39356.0,Soybean,2015,first
高雄市,6.47,6.47,2319,15002.0,Soybean,2015,first
屏東縣,139.35,139.35,1732,241391.0,Soybean,2015,first
花蓮縣,52.88,52.88,1561,82554.0,Soybean,2015,first
宜蘭縣,0.70,0.70,1480,1036.0,Soybean,2015,second
桃園市,58.60,58.60,1156,67730.0,Soybean,2015,second
苗栗縣,84.64,84.64,1076,91111.0,Soybean,2015,second
台中市,99.25,99.25,1817,180314.0,Soybean,2015,second
彰化縣,110.60,110.60,1469,162430.0,Soybean,2015,second
雲林縣,218.16,218.16,2096,457223.0,Soybean,2015,second
嘉義縣,176.74,176.74,1660,293425.0,Soybean,2015,second
台南市,185.93,185.93,1507,280233.0,Soybean,2015,second
高雄市,5.18,5.18,1925,9969.0,Soybean,2015,second
屏東縣,103.32,103.32,1666,172147.0,Soybean,2015,second
花蓮縣,25.29,25.29,1142,28886.0,Soybean,2015,second
宜蘭縣,2.46,2.46,1480,3641.0,Soybean,2015,whole
桃園市,58.60,58.60,1156,67730.0,Soybean,2015,whole
苗栗縣,84.64,84.64,1076,91111.0,Soybean,2015,whole
台中市,99.25,99.25,1817,180314.0,Soybean,2015,whole
彰化縣,113.70,113.70,1461,166120.0,Soybean,2015,whole
雲林縣,232.35,228.05,2079,474078.0,Soybean,2015,whole
嘉義縣,262.93,262.93,1753,460827.0,Soybean,2015,whole
台南市,273.45,273.45,1447,395607.0,Soybean,2015,whole
高雄市,136.84,136.84,1765,241515.0,Soybean,2015,whole
屏東縣,309.90,309.90,1718,532265.0,Soybean,2015,whole
花蓮縣,78.17,78.17,1426,111440.0,Soybean,2015,whole
彰化縣,3.10,3.10,1190,3690.0,Soybean,2015,winter
嘉義縣,31.92,31.92,1800,57452.0,Soybean,2015,winter
台南市,60.74,60.74,1252,76018.0,Soybean,2015,winter
高雄市,125.19,125.19,1730,216544.0,Soybean,2015,winter
屏東縣,67.23,67.23,1766,118727.0,Soybean,2015,winter
宜蘭縣,0.42,0.42,1929,810.0,Soybean,2016,first
桃園市,1.31,1.31,1338,1753.0,Soybean,2016,first
台中市,0.10,0.10,1800,180.0,Soybean,2016,first
雲林縣,6.25,6.25,1739,10869.0,Soybean,2016,first
嘉義縣,65.97,65.97,2004,132197.0,Soybean,2016,first
台南市,17.78,17.78,1404,24955.0,Soybean,2016,first
高雄市,12.63,12.63,2062,26042.0,Soybean,2016,first
屏東縣,127.55,127.55,1653,210799.0,Soybean,2016,first
台東縣,0.39,0.39,1421,554.0,Soybean,2016,first
花蓮縣,59.80,59.80,1558,93164.0,Soybean,2016,first
宜蘭縣,1.21,1.21,1480,1791.0,Soybean,2016,second
桃園市,114.18,114.18,992,113252.0,Soybean,2016,second
苗栗縣,111.28,111.28,761,84692.0,Soybean,2016,second
台中市,70.57,70.57,1861,131313.0,Soybean,2016,second
彰化縣,119.05,119.05,1470,175053.0,Soybean,2016,second
南投縣,0.02,0.02,1000,20.0,Soybean,2016,second
雲林縣,318.52,318.52,1648,524875.0,Soybean,2016,second
嘉義縣,343.62,343.62,1241,426367.0,Soybean,2016,second
台南市,220.99,149.52,1712,256019.0,Soybean,2016,second
高雄市,2.88,2.88,1784,5138.0,Soybean,2016,second
屏東縣,144.03,144.03,1311,188810.0,Soybean,2016,second
台東縣,0.60,0.60,900,540.0,Soybean,2016,second
花蓮縣,27.50,27.50,1235,33952.0,Soybean,2016,second
新竹市,1.00,1.00,1200,1200.0,Soybean,2016,second
宜蘭縣,1.68,1.68,1608,2701.0,Soybean,2016,whole
桃園市,115.49,115.49,996,115005.0,Soybean,2016,whole
新竹縣,1.30,1.30,1700,2210.0,Soybean,2016,whole
苗栗縣,126.48,126.48,835,105658.0,Soybean,2016,whole
台中市,109.99,109.99,1915,210640.0,Soybean,2016,whole
彰化縣,128.46,128.46,1462,187753.0,Soybean,2016,whole
南投縣,0.52,0.52,1481,770.0,Soybean,2016,whole
雲林縣,333.06,333.06,1649,549186.0,Soybean,2016,whole
嘉義縣,423.82,423.82,1377,583433.0,Soybean,2016,whole
台南市,359.27,287.80,1516,436186.0,Soybean,2016,whole
高雄市,130.01,130.01,1508,196000.0,Soybean,2016,whole
屏東縣,354.86,354.86,1521,539576.0,Soybean,2016,whole
台東縣,0.99,0.99,1105,1094.0,Soybean,2016,whole
花蓮縣,89.80,89.80,1446,129826.0,Soybean,2016,whole
新竹市,1.00,1.00,1200,1200.0,Soybean,2016,whole
宜蘭縣,0.05,0.05,2000,100.0,Soybean,2016,winter
新竹縣,1.30,1.30,1700,2210.0,Soybean,2016,winter
苗栗縣,15.20,15.20,1379,20966.0,Soybean,2016,winter
台中市,39.32,39.32,2013,79147.0,Soybean,2016,winter
彰化縣,9.41,9.41,1350,12700.0,Soybean,2016,winter
南投縣,0.50,0.50,1500,750.0,Soybean,2016,winter
雲林縣,8.29,8.29,1621,13442.0,Soybean,2016,winter
嘉義縣,14.23,14.23,1748,24869.0,Soybean,2016,winter
台南市,120.50,120.50,1288,155212.0,Soybean,2016,winter
高雄市,114.50,114.50,1439,164820.0,Soybean,2016,winter
屏東縣,83.28,83.28,1681,139967.0,Soybean,2016,winter
花蓮縣,2.50,2.50,1084,2710.0,Soybean,2016,winter
新北市,0.30,0.30,1200,360.0,Soybean,2017,first
宜蘭縣,7.72,7.72,1562,12056.0,Soybean,2017,first
桃園市,10.79,10.79,819,8832.0,Soybean,2017,first
新竹縣,8.59,8.59,1399,12014.0,Soybean,2017,first
苗栗縣,25.85,25.85,1482,38315.0,Soybean,2017,first
台中市,3.62,3.62,2383,8626.0,Soybean,2017,first
彰化縣,3.78,3.78,1401,5296.0,Soybean,2017,first
雲林縣,60.96,60.96,1431,87228.0,Soybean,2017,first
嘉義縣,67.38,67.38,2017,135920.0,Soybean,2017,first
台南市,50.37,50.37,1439,72463.0,Soybean,2017,first
高雄市,58.63,53.98,2119,114357.0,Soybean,2017,first
屏東縣,189.63,189.63,1221,231560.0,Soybean,2017,first
花蓮縣,134.50,134.50,1322,177795.0,Soybean,2017,first
宜蘭縣,2.21,2.21,1500,3315.0,Soybean,2017,second
桃園市,262.47,261.57,1099,287364.0,Soybean,2017,second
新竹縣,24.13,24.13,1319,31828.0,Soybean,2017,second
苗栗縣,86.49,86.49,1487,128652.0,Soybean,2017,second
台中市,113.26,113.26,2125,240691.0,Soybean,2017,second
彰化縣,49.65,49.65,1471,73014.0,Soybean,2017,second
雲林縣,275.91,275.91,1722,475104.0,Soybean,2017,second
嘉義縣,428.88,428.88,1538,659630.0,Soybean,2017,second
台南市,359.66,359.66,1580,568396.0,Soybean,2017,second
高雄市,33.03,33.03,1522,50276.0,Soybean,2017,second
屏東縣,250.53,250.53,1169,292752.0,Soybean,2017,second
花蓮縣,120.63,120.63,1193,143881.0,Soybean,2017,second
新竹市,1.00,1.00,1250,1250.0,Soybean,2017,second
新北市,0.30,0.30,1200,360.0,Soybean,2017,whole
宜蘭縣,9.93,9.93,1548,15371.0,Soybean,2017,whole
桃園市,273.26,272.36,1088,296196.0,Soybean,2017,whole
新竹縣,32.72,32.72,1340,43842.0,Soybean,2017,whole
苗栗縣,112.92,112.92,1485,167692.0,Soybean,2017,whole
台中市,129.46,129.46,2122,274726.0,Soybean,2017,whole
彰化縣,59.41,59.41,1446,85925.0,Soybean,2017,whole
南投縣,0.06,0.06,2283,137.0,Soybean,2017,whole
雲林縣,346.09,346.09,1668,577284.0,Soybean,2017,whole
嘉義縣,568.58,568.58,1618,919844.0,Soybean,2017,whole
台南市,632.02,632.02,1542,974378.0,Soybean,2017,whole
高雄市,178.67,174.02,1751,304760.0,Soybean,2017,whole
屏東縣,567.00,567.00,1171,664016.0,Soybean,2017,whole
花蓮縣,276.54,276.54,1260,348475.0,Soybean,2017,whole
新竹市,1.00,1.00,1250,1250.0,Soybean,2017,whole
苗栗縣,0.58,0.58,1250,725.0,Soybean,2017,winter
台中市,12.58,12.58,2020,25409.0,Soybean,2017,winter
彰化縣,5.98,5.98,1273,7615.0,Soybean,2017,winter
南投縣,0.06,0.06,2283,137.0,Soybean,2017,winter
雲林縣,9.22,9.22,1622,14952.0,Soybean,2017,winter
嘉義縣,72.32,72.32,1719,124294.0,Soybean,2017,winter
台南市,221.99,221.99,1502,333519.0,Soybean,2017,winter
高雄市,87.01,87.01,1610,140127.0,Soybean,2017,winter
屏東縣,126.84,126.84,1101,139704.0,Soybean,2017,winter
花蓮縣,21.41,21.41,1252,26799.0,Soybean,2017,winter
新北市,0.30,0.30,1100,330.0,Soybean,2018,first
宜蘭縣,4.26,4.26,1359,5789.0,Soybean,2018,first
苗栗縣,6.37,6.37,1122,7144.0,Soybean,2018,first
台中市,1.90,1.90,2418,4594.0,Soybean,2018,first
彰化縣,2.43,2.43,1476,3586.0,Soybean,2018,first
雲林縣,57.33,56.22,1296,72881.0,Soybean,2018,first
嘉義縣,70.45,70.45,2082,146694.0,Soybean,2018,first
台南市,90.80,90.80,1384,125690.0,Soybean,2018,first
高雄市,3.57,3.57,1980,7070.0,Soybean,2018,first
屏東縣,213.84,213.84,1087,232348.0,Soybean,2018,first
台東縣,2.20,2.20,1180,2595.0,Soybean,2018,first
花蓮縣,159.82,159.82,1232,196857.0,Soybean,2018,first
宜蘭縣,2.48,2.48,1522,3775.0,Soybean,2018,second
桃園市,474.75,474.75,1161,550952.0,Soybean,2018,second
新竹縣,52.75,52.75,1385,73081.0,Soybean,2018,second
苗栗縣,55.93,55.93,1571,87872.0,Soybean,2018,second
台中市,137.66,137.66,2259,310943.0,Soybean,2018,second
彰化縣,62.72,62.72,1499,93995.0,Soybean,2018,second
雲林縣,65.84,65.84,1919,126370.0,Soybean,2018,second
嘉義縣,207.52,207.52,1834,380683.0,Soybean,2018,second
台南市,237.57,237.57,1742,413742.0,Soybean,2018,second
高雄市,0.67,0.67,1493,1000.0,Soybean,2018,second
屏東縣,171.68,171.68,1047,179667.0,Soybean,2018,second
台東縣,2.45,2.45,2500,6125.0,Soybean,2018,second
花蓮縣,111.59,111.59,1272,141977.0,Soybean,2018,second
新竹市,1.00,1.00,1200,1200.0,Soybean,2018,second
新北市,0.30,0.30,1100,330.0,Soybean,2018,whole
宜蘭縣,6.74,6.74,1419,9564.0,Soybean,2018,whole
桃園市,475.75,475.75,1160,551752.0,Soybean,2018,whole
新竹縣,52.75,52.75,1385,73081.0,Soybean,2018,whole
苗栗縣,64.60,64.60,1514,97776.0,Soybean,2018,whole
台中市,157.40,157.40,2207,347373.0,Soybean,2018,whole
彰化縣,90.73,90.73,1462,132667.0,Soybean,2018,whole
雲林縣,164.86,163.75,1620,265247.0,Soybean,2018,whole
嘉義縣,413.17,413.17,1884,778353.0,Soybean,2018,whole
台南市,546.65,546.65,1610,880057.0,Soybean,2018,whole
高雄市,145.00,145.00,1816,263336.0,Soybean,2018,whole
屏東縣,614.65,614.65,1039,638543.0,Soybean,2018,whole
台東縣,5.15,5.15,1781,9170.0,Soybean,2018,whole
花蓮縣,283.84,283.84,1251,355053.0,Soybean,2018,whole
新竹市,1.00,1.00,1200,1200.0,Soybean,2018,whole
桃園市,1.00,1.00,800,800.0,Soybean,2018,winter
苗栗縣,2.30,2.30,1200,2760.0,Soybean,2018,winter
台中市,17.84,17.84,1785,31836.0,Soybean,2018,winter
彰化縣,25.58,25.58,1372,35086.0,Soybean,2018,winter
雲林縣,41.69,41.69,1583,65996.0,Soybean,2018,winter
嘉義縣,135.20,135.20,1856,250976.0,Soybean,2018,winter
台南市,218.28,218.28,1560,340625.0,Soybean,2018,winter
高雄市,140.76,140.76,1813,255266.0,Soybean,2018,winter
屏東縣,229.13,229.13,989,226528.0,Soybean,2018,winter
台東縣,0.50,0.50,900,450.0,Soybean,2018,winter
花蓮縣,12.43,12.43,1305,16219.0,Soybean,2018,winter
新北市,0.58,0.58,1100,638.0,Soybean,2019,first
宜蘭縣,0.88,0.88,1248,1098.0,Soybean,2019,first
苗栗縣,5.35,5.35,1203,6438.0,Soybean,2019,first
彰化縣,3.03,3.03,1500,4545.0,Soybean,2019,first
雲林縣,33.20,33.20,1505,49955.0,Soybean,2019,first
嘉義縣,58.59,58.59,2024,118615.0,Soybean,2019,first
台南市,77.94,77.94,1316,102577.0,Soybean,2019,first
高雄市,0.60,0.60,2143,1286.0,Soybean,2019,first
屏東縣,269.18,269.18,868,233615.0,Soybean,2019,first
台東縣,2.02,2.02,1728,3490.0,Soybean,2019,first
花蓮縣,153.50,153.50,1110,170363.0,Soybean,2019,first
宜蘭縣,34.18,34.18,350,11963.0,Soybean,2019,second
桃園市,398.84,398.84,1079,430392.0,Soybean,2019,second
新竹縣,60.72,60.72,1375,83492.0,Soybean,2019,second
苗栗縣,34.41,34.41,1559,53631.0,Soybean,2019,second
台中市,111.19,111.19,1944,216162.0,Soybean,2019,second
彰化縣,4.76,4.76,1467,6981.0,Soybean,2019,second
雲林縣,61.85,61.85,1616,99920.0,Soybean,2019,second
嘉義縣,165.91,165.91,1681,278940.0,Soybean,2019,second
台南市,236.69,236.69,1847,437244.0,Soybean,2019,second
高雄市,1.95,1.95,2097,4090.0,Soybean,2019,second
屏東縣,220.22,220.22,932,205284.0,Soybean,2019,second
台東縣,6.35,6.35,2091,13275.0,Soybean,2019,second
花蓮縣,139.55,139.55,1210,168900.0,Soybean,2019,second
新北市,0.58,0.58,1100,638.0,Soybean,2019,whole
宜蘭縣,36.88,36.88,428,15795.0,Soybean,2019,whole
桃園市,398.84,398.84,1079,430392.0,Soybean,2019,whole
新竹縣,62.04,62.04,1378,85466.0,Soybean,2019,whole
苗栗縣,40.18,40.18,1510,60665.0,Soybean,2019,whole
台中市,121.01,121.01,1957,236822.0,Soybean,2019,whole
彰化縣,35.92,35.92,1197,43014.0,Soybean,2019,whole
南投縣,0.35,0.35,1000,350.0,Soybean,2019,whole
雲林縣,215.25,215.25,1904,409785.0,Soybean,2019,whole
嘉義縣,437.53,437.53,1788,782466.0,Soybean,2019,whole
台南市,753.70,753.70,1656,1247770.0,Soybean,2019,whole
高雄市,157.90,157.90,1764,278544.0,Soybean,2019,whole
屏東縣,829.72,829.72,978,811405.0,Soybean,2019,whole
台東縣,8.37,8.37,2003,16765.0,Soybean,2019,whole
花蓮縣,306.88,306.88,1161,356249.0,Soybean,2019,whole
宜蘭縣,1.82,1.82,1502,2734.0,Soybean,2019,winter
新竹縣,1.32,1.32,1495,1974.0,Soybean,2019,winter
苗栗縣,0.42,0.42,1419,596.0,Soybean,2019,winter
台中市,9.82,9.82,2104,20660.0,Soybean,2019,winter
彰化縣,28.13,28.13,1119,31488.0,Soybean,2019,winter
南投縣,0.35,0.35,1000,350.0,Soybean,2019,winter
雲林縣,120.20,120.20,2162,259910.0,Soybean,2019,winter
嘉義縣,213.03,213.03,1807,384911.0,Soybean,2019,winter
台南市,439.07,439.07,1612,707949.0,Soybean,2019,winter
高雄市,155.35,155.35,1758,273168.0,Soybean,2019,winter
屏東縣,340.32,340.32,1095,372506.0,Soybean,2019,winter
花蓮縣,13.83,13.83,1228,16986.0,Soybean,2019,winter
新北市,0.55,0.55,1100,605.0,Soybean,2020,first
宜蘭縣,36.44,36.44,227,8287.0,Soybean,2020,first
苗栗縣,2.22,2.22,1191,2643.0,Soybean,2020,first
台中市,0.31,0.31,2152,667.0,Soybean,2020,first
彰化縣,0.35,0.35,1500,525.0,Soybean,2020,first
雲林縣,117.76,117.76,1554,182956.0,Soybean,2020,first
嘉義縣,80.79,80.79,1927,155651.0,Soybean,2020,first
台南市,178.14,178.14,1261,224696.0,Soybean,2020,first
高雄市,0.66,0.66,1918,1266.0,Soybean,2020,first
屏東縣,354.18,354.18,772,273513.0,Soybean,2020,first
台東縣,0.30,0.30,2500,750.0,Soybean,2020,first
花蓮縣,183.45,180.05,1228,221191.0,Soybean,2020,first
宜蘭縣,47.51,47.51,819,38895.0,Soybean,2020,second
桃園市,369.12,369.12,1060,391216.0,Soybean,2020,second
新竹縣,99.82,99.82,1531,152817.0,Soybean,2020,second
苗栗縣,7.80,7.80,1037,8090.0,Soybean,2020,second
台中市,43.89,43.89,2068,90768.0,Soybean,2020,second
彰化縣,14.35,14.35,1332,19110.0,Soybean,2020,second
南投縣,0.20,0.20,1400,280.0,Soybean,2020,second
雲林縣,174.38,174.38,1669,290980.0,Soybean,2020,second
嘉義縣,23.33,23.33,1502,35033.0,Soybean,2020,second
台南市,267.37,267.37,1625,434542.0,Soybean,2020,second
高雄市,2.52,2.52,2183,5501.0,Soybean,2020,second
屏東縣,32.20,32.20,860,27692.0,Soybean,2020,second
台東縣,5.95,5.95,1962,11675.0,Soybean,2020,second
花蓮縣,163.97,163.97,1136,186278.0,Soybean,2020,second
新北市,0.55,0.55,1100,605.0,Soybean,2020,whole
宜蘭縣,117.45,117.45,460,54032.0,Soybean,2020,whole
桃園市,369.12,369.12,1060,391216.0,Soybean,2020,whole
新竹縣,108.79,108.79,1519,165240.0,Soybean,2020,whole
苗栗縣,10.02,10.02,1071,10733.0,Soybean,2020,whole
台中市,46.73,46.73,2121,99118.0,Soybean,2020,whole
彰化縣,22.50,22.50,1304,29335.0,Soybean,2020,whole
南投縣,0.20,0.20,1400,280.0,Soybean,2020,whole
雲林縣,329.10,329.10,1695,557906.0,Soybean,2020,whole
嘉義縣,214.61,214.61,1833,393396.0,Soybean,2020,whole
台南市,742.82,742.82,1544,1146941.0,Soybean,2020,whole
高雄市,150.14,150.14,1782,267604.0,Soybean,2020,whole
屏東縣,936.33,936.33,934,874213.0,Soybean,2020,whole
台東縣,8.15,8.15,2077,16925.0,Soybean,2020,whole
花蓮縣,374.43,371.03,1186,439872.0,Soybean,2020,whole
宜蘭縣,33.50,33.50,204,6850.0,Soybean,2020,winter
新竹縣,8.97,8.97,1385,12423.0,Soybean,2020,winter
台中市,2.53,2.53,3037,7683.0,Soybean,2020,winter
彰化縣,7.80,7.80,1244,9700.0,Soybean,2020,winter
雲林縣,36.96,36.96,2272,83970.0,Soybean,2020,winter
嘉義縣,110.49,110.49,1835,202712.0,Soybean,2020,winter
台南市,297.31,297.31,1640,487703.0,Soybean,2020,winter
高雄市,146.96,146.96,1775,260837.0,Soybean,2020,winter
屏東縣,549.95,549.95,1042,573008.0,Soybean,2020,winter
台東縣,1.90,1.90,2368,4500.0,Soybean,2020,winter
花蓮縣,27.01,27.01,1200,32403.0,Soybean,2020,winter
新北市,0.55,0.55,1100,605.0,Soybean,2021,first
宜蘭縣,45.22,45.22,905,40938.0,Soybean,2021,first
桃園市,43.75,43.75,1489,65125.0,Soybean,2021,first
新竹縣,0.63,0.63,1400,882.0,Soybean,2021,first
苗栗縣,23.53,23.53,1304,30678.0,Soybean,2021,first
台中市,1.40,1.40,2386,3340.0,Soybean,2021,first
彰化縣,0.35,0.35,1500,525.0,Soybean,2021,first
雲林縣,45.64,45.64,1538,70177.0,Soybean,2021,first
嘉義縣,94.04,94.04,1753,164848.0,Soybean,2021,first
台南市,195.50,195.50,1407,274976.0,Soybean,2021,first
